word	category	definition	semantic_role	parent_concept
above	PREPOSITION	At a higher level or layer than.	INSIDE	physical_entity
absorb	VERB	Take in or soak up energy, liquid, or other substances.	PUSH	physical_entity
accelerate	VERB	Increase velocity or rate of motion over time.	PUSH	physical_entity
acceleration	NOUN	The rate of change of velocity per unit of time.	BLOCK	physical_entity
acid	NOUN	A chemical substance that neutralizes alkalis, dissolves some metals, and turns litmus red.	BLOCK	physical_entity
across	PREPOSITION	From one side to the other of something with clear limits.	NEAR	physical_entity
against	PREPOSITION	In close proximity to and touching someone or something.	NEAR	physical_entity
along	PREPOSITION	Moving in a constant direction on a more or less horizontal surface.	NEAR	physical_entity
animal	NOUN	A living organism that feeds on organic matter, typically having specialized sense organs.	BLOCK	physical_entity
anything	NOUN	A thing of any kind; used to refer to a thing, no matter what.	BLOCK	physical_entity
around	PREPOSITION	Located or moving on every side; about.	NEAR	physical_entity
atom	NOUN	The basic unit of a chemical element, consisting of a nucleus surrounded by electrons.	BLOCK	physical_entity
attract	VERB	Exert a force on an object that tends to pull it toward the attracting body.	PULL	physical_entity
ball	NOUN	A spherical physical body capable of rolling across surfaces.	BALL	spherical_body
bar	NOUN	A rigid piece of metal or wood, broader than a rod, used as a lever.	TOOL	lever_instrument
basket	NOUN	A container used to hold or carry things.	CONTAINER	receptacle
beam	NOUN	A ray or shaft of light or other radiation, or a long, sturdy piece of squared timber or metal.	BLOCK	physical_entity
behind	PREPOSITION	At the back of or in the wake of.	INSIDE	physical_entity
being	NOUN	Existence; or a real or imaginary living creature or entity.	BLOCK	physical_entity
below	PREPOSITION	At a lower level or layer than.	INSIDE	physical_entity
beside	PREPOSITION	At the side of; next to.	NEAR	physical_entity
between	PREPOSITION	At, into, or across the space separating two objects or points.	NEAR	physical_entity
bin	NOUN	A box or receptacle for storing materials.	CONTAINER	receptacle
block	NOUN	A large solid piece of hard material with flat surfaces on each side.	BLOCK	block_body
blue	ADJECTIVE	Of a color intermediate between green and violet, as of the sky or sea on a sunny day.		physical_entity
box	NOUN	A rigid container or receptacle, typically rectangular, with a lid or open top.	CONTAINER	receptacle
building	NOUN	A structure with a roof and walls, such as a house, school, store, or factory.	BLOCK	physical_entity
by	PREPOSITION	Identifying the agent performing an action; or near to; beside.	NEAR	physical_entity
candle	NOUN	A cylinder of wax with a central wick that is lit to produce light as it burns.	BLOCK	physical_entity
ceiling	NOUN	The upper interior surface of a room or other similar compartment.	BLOCK	physical_entity
cell	NOUN	The smallest structural and functional unit of an organism, typically microscopic.	BLOCK	physical_entity
chamber	NOUN	An enclosed physical space or compartment in an apparatus.	CONTAINER	physical_entity
charge	NOUN	A physical property of matter that causes it to experience a force when placed in an electromagnetic field.	BLOCK	physical_entity
chemical	ADJECTIVE	Relating to chemistry, or the interactions of substances as studied in chemistry.		physical_entity
chest	NOUN	A large strong box, typically made of wood, used for storage.	CONTAINER	receptacle
clothing	NOUN	Clothes collectively; items worn on the body.	BLOCK	physical_entity
cold	ADJECTIVE	Of or at a low or relatively low temperature.		physical_entity
collide	VERB	Hit with force when moving.	PUSH	physical_entity
combust	VERB	Consume or be consumed by fire or burn chemically.	PUSH	physical_entity
condense	VERB	Make something denser or more concentrated; change from gas to liquid.	PUSH	physical_entity
conduct	VERB	Transmit heat, electricity, or other energy through a substance.	PUSH	physical_entity
container	NOUN	An object that can be used to hold or transport something.	CONTAINER	physical_entity
contract	VERB	Decrease in size, number, or range.	PUSH	physical_entity
