token	language	category	semantic_role	canonical_target
box	en	NOUN	CONTAINER	container
container	en	NOUN	CONTAINER	container
vessel	en	NOUN	CONTAINER	container
crate	en	NOUN	CONTAINER	container
bin	en	NOUN	CONTAINER	container
chest	en	NOUN	CONTAINER	container
crucible	en	NOUN	CONTAINER	container
boîte	fr	NOUN	CONTAINER	container
boite	fr	NOUN	CONTAINER	container
récipient	fr	NOUN	CONTAINER	container
recipient	fr	NOUN	CONTAINER	container
vaisseau	fr	NOUN	CONTAINER	container
caisse	fr	NOUN	CONTAINER	container
coffre	fr	NOUN	CONTAINER	container
creuset	fr	NOUN	CONTAINER	container
caja	es	NOUN	CONTAINER	container
recipiente	es	NOUN	CONTAINER	container
vaso	es	NOUN	CONTAINER	container
arca	es	NOUN	CONTAINER	container
cofre	es	NOUN	CONTAINER	container
crisol	es	NOUN	CONTAINER	container
kasten	de	NOUN	CONTAINER	container
schachtel	de	NOUN	CONTAINER	container
behälter	de	NOUN	CONTAINER	container
behalter	de	NOUN	CONTAINER	container
gefäß	de	NOUN	CONTAINER	container
gefaess	de	NOUN	CONTAINER	container
kiste	de	NOUN	CONTAINER	container
tiegel	de	NOUN	CONTAINER	container
stick	en	NOUN	TOOL	tool
tool	en	NOUN	TOOL	tool
lever	en	NOUN	TOOL	tool
rod	en	NOUN	TOOL	tool
bar	en	NOUN	TOOL	tool
prybar	en	NOUN	TOOL	tool
bâton	fr	NOUN	TOOL	tool
baton	fr	NOUN	TOOL	tool
outil	fr	NOUN	TOOL	tool
levier	fr	NOUN	TOOL	tool
tige	fr	NOUN	TOOL	tool
barre	fr	NOUN	TOOL	tool
pince	fr	NOUN	TOOL	tool
palo	es	NOUN	TOOL	tool
herramienta	es	NOUN	TOOL	tool
palanca	es	NOUN	TOOL	tool
vara	es	NOUN	TOOL	tool
barra	es	NOUN	TOOL	tool
pinzas	es	NOUN	TOOL	tool
stock	de	NOUN	TOOL	tool
werkzeug	de	NOUN	TOOL	tool
hebel	de	NOUN	TOOL	tool
stab	de	NOUN	TOOL	tool
stange	de	NOUN	TOOL	tool
zange	de	NOUN	TOOL	tool
ball	en	NOUN	BALL	ball
sphere	en	NOUN	BALL	ball
marble	en	NOUN	BALL	ball
globe	en	NOUN	BALL	ball
balle	fr	NOUN	BALL	ball
sphère	fr	NOUN	BALL	ball
bille	fr	NOUN	BALL	ball
pelota	es	NOUN	BALL	ball
esfera	es	NOUN	BALL	ball
